Query	predict_lb	predict_tag	score	true_lb	true_tag
здравствовать я сотрудник вшфд пытаться входить в бэк офис академия ссылка https academy fd ru backend rubricator и школа ссылка https school fd ru backend account login returnurl 2fbackend 2frubricator и появляться код ошибка 500 скрин прилагать vpn подключать подсказывать пожалуйста это какой то временный сбой быть ли возможность исправлять	4	Другое	0.9999923706054688	Школы Ошибка	14
из один школа в другой передавать контент https academy fd ru programs view 203630 fe58bed6 e391 459f a49b 2cb8706c1c23 8d741b77 58b6 4042 8733 b2f93682e66f тут быть допматы и они скачиваться передавать казах https buhstudy mcfr kz programs 207422 fe58bed6 e391 459f a49b 2cb8706c1c23 8d741b77 58b6 4042 8733 b2f93682e66f а тут допматы не скачиваться	14	Школы Ошибка	0.9996017813682556	Школы Ошибка	14
клиент natbeba yandex ru проходить обучение по укд 0606 8137 0218 1534 8420 но в арма оценка не подтягиваться просьба проставлять оценка	14	Школы Ошибка	0.999995231628418	Школы Ошибка	14
проверять этот задача https jira action media ru browse bcklg 37980 где на выход пользователь который ранее не быть зарегистрировать на наш платформа проходить регистрация на edu rosminzdrav ru но не иметь регистрация в айди2 при переход по ссылка с edu rosminzdrav ru на наш программа должный увидеть подымать попап авторизация регистрация в айди2 задача не выполнять ознакомляться со сценарий действие можно здесь https docs google com document d 15yhe9rq9c sj73ghl_n4kguq0f1pqdtyizldidf5dmc edit usp sharing сценарий 3	4	Другое	0.9999973773956299	Школы Ошибка	14
укд 0754 1335 5185 4442 1662 не получать ранний доступ	4	Другое	0.9999778270721436	Школы Ошибка	14
устаревать доступ просьба отрыть кураторский доступ для назначение курс сотрудник	4	Другое	0.9991550445556641	Школы Ошибка	14
0606 7140 1763 8458 3603 просьба подтягивать оценка	14	Школы Ошибка	0.9998065829277039	Школы Ошибка	14
0654 1442 7840 2415 1636 не сформиван пакет	14	Школы Ошибка	0.9979456067085266	Школы Ошибка	14
0654 7884 7803 6065 5176 нет пакет	14	Школы Ошибка	0.9986782670021057	Школы Ошибка	14
0787 4430 1367 2271 2474 нет возможность загружать документ хотя написать что сд да	4	Другое	0.9985448122024536	Школы Ошибка	14
0904 8526 7101 6538 6381 перенести срок пожалуйста с 1 08 2022 31 10 2022	4	Другое	0.9998119473457336	Школы Ошибка	14
0955 1868 2717 4053 5665 нет пакет	14	Школы Ошибка	0.9996383190155029	Школы Ошибка	14
0955 7658 0131 3357 6773 не сформировывать пакет для загрузка	2	АРМ оператора (SD) Ошибка	0.9898203611373901	Школы Ошибка	14
1275 5882 1388 4204 2837 не сформировывать пакет для загрузка	14	Школы Ошибка	0.9998205304145813	Школы Ошибка	14
1382 0871 8626 6713 1467 нет пакет	14	Школы Ошибка	0.9999876022338867	Школы Ошибка	14
1382 4270 7203 6574 8518 нет пакет для загрузка	14	Школы Ошибка	0.9998924732208252	Школы Ошибка	14
1382 2678 0018 4128 6517 1382 3046 5224 1047 4511 нет пакет	14	Школы Ошибка	0.9999593496322632	Школы Ошибка	14
1382 0871 8626 6713 1467 нет пакет	14	Школы Ошибка	0.9999876022338867	Школы Ошибка	14
1382 5661 8310 6241 0277 1382 8486 0571 2437 3550 нет пакет	14	Школы Ошибка	0.9999854564666748	Школы Ошибка	14
1732 1423 2646 2288 5143 нет пакет для загрузка	14	Школы Ошибка	0.9999473094940186	Школы Ошибка	14
3768649901 zakupki ctho ru не приходить демо доступ на высокий школа госзакупки кп приходить а дд нет	3	Демодоступы (ДД) Доступы	0.9980502128601074	Школы Ошибка	14
baksbanny18 mail ru у клиент не создаваться укд на пожарный безопасность для руководитель и ответственный лицо	3	Демодоступы (ДД) Доступы	0.9994020462036133	Школы Ошибка	14
ilianka el yandex ru hables vo rambler ru vsvetlana35 bk ru у данный клиент нет возможность посмотреть демо при выдача через весь программа ссылка приходить но не давать зайти в курс курс неактивный а через одиночный демка писать что быть доступный после сдача тест просьба подсказывать причина у мы это очень распространенный проблема и устранять она в перспектива если это возможный	14	Школы Ошибка	0.9999912977218628	Школы Ошибка	14
julia_kaplina95 mail ru пин 6083196001 программа в демо доступ у клиент не открываться написать в любой обучение начинать и много ничто	14	Школы Ошибка	0.9999909400939941	Школы Ошибка	14
k0non87 ya ru в арма укд на программа обучение по охрана труд руководитель и специалист организация 40 часы отсутствовать просьба сформировывать укд на данный обучение	14	Школы Ошибка	0.9998158812522888	Школы Ошибка	14
oks usd wld sudrf ru демодоступ на высокий школа госзакупки не открываться у клиент курсы неактивный только микрообучение доступно к просмотр пин3156947401 светлана просьба сообщать что сделать чтобы клиент мочь смотреть онлайн демо доступ	14	Школы Ошибка	0.999729335308075	Школы Ошибка	14
абзеев дамир рамильевич abzeev d r muctr ru гореть владимир васильевич gorev v v muctr ru жук дмитрий юрьевич zhukov d i muctr ru павлов александр валерьевич pavlov a v muctr ru сергеев анастасия васильевна sergeeva a v muctr ru у данный ученик в арм нет укд с пройти программа а в личный кабинет сформировывать сертификат просьба укд с пройти программа добавлять в арм заранее спасибо	4	Другое	0.9999405145645142	Школы Ошибка	14
активация укд по переподписка_new образовательный услуга по программа дополнительный профессиональный образование повышение квалификация антикризисный кадровик как сокращать затрата на персонал 72 час 01 08 22 30 09 22 укд 0610 3146 2087 4057 2355 кл кислов олег александрович активировать внутри программа отображаться неверный период почта kislovoleg ya ru и программа неактивный верный период 01 08 22 30 09 22	4	Другое	0.9997901320457458	Школы Ошибка	14
битрикс 10876113 по укд 0410 1650 8153 6344 7358 нет пакет документ просьба сформировывать	4	Другое	0.9997572302818298	Школы Ошибка	14
битрикс 11390712 по укд 0955 8552 7660 0823 3861 и 0955 2522 1022 6586 7553 нет пакет документ просьба сформировывать	14	Школы Ошибка	0.999671220779419	Школы Ошибка	14
битрикс 13348228 клиент утверждать что проходить обучение по укд 0606 0054 5008 5488 4877 но оценка в арма не проставлять просьба проверять проходить ли данный обучение и если да то проставлять оценка	14	Школы Ошибка	0.9999945163726807	Школы Ошибка	14
битрикс 15713662 по укд 0050 6760 4172 0000 2535 обучение проходить но оценка не проставлять в арма подтягивать не удаваться просьба проставлять оценка	14	Школы Ошибка	0.9999973773956299	Школы Ошибка	14
битрикс 16472050 по укд 0050 0652 7842 7845 3421 нет пакет документ просьба сформировывать	4	Другое	0.9999330043792725	Школы Ошибка	14
битрикс 16560274 по укд 0654 8283 1837 0141 1823 нет пакет документ просьба сформировывать	14	Школы Ошибка	0.9999579191207886	Школы Ошибка	14
битрикс 17339674 по укд 0610 4857 8045 2725 5425 нет пакет документ просьба сформировывать	4	Другое	0.99973064661026	Школы Ошибка	14
битрикс 17398659 по укд 0754 8773 2624 3208 0557 не сформировываться обращение на проверка просьба сформировывать	4	Другое	0.9985860586166382	Школы Ошибка	14
битрикс 17434723 по укд 0904 2867 3018 3645 6650 нет пакет документ просьба сформировывать	14	Школы Ошибка	0.9991294741630554	Школы Ошибка	14
битрикс 17472107 клиент проходить обучение по укд 0050 6638 5217 1503 2203 но в арма оценка не подтягиваться просьба проставлять оценка	14	Школы Ошибка	0.9999961853027344	Школы Ошибка	14
битрикс 17669439 по укд 0918 2677 6203 2682 1817 и 0610 2440 5651 1313 1208 нет пакет документ просьба сформировывать	14	Школы Ошибка	0.9999696016311646	Школы Ошибка	14
битрикс 17680354 клиент o antonova75 mail ru проходить обучение по укд 0397 8676 8801 2247 4418 но оценка в арма не проставляться подтягивать свой сила не удаваться просьба проставлять оценка	14	Школы Ошибка	0.9999979734420776	Школы Ошибка	14
битрикс 17736758 по укд 0905 1360 1058 5516 5652 нет пакет документ просьба сформировывать	14	Школы Ошибка	0.9997649788856506	Школы Ошибка	14
битрикс 17975076 по укд 0654 2425 3081 2533 7574 нет пакет документ просьба сформировывать	4	Другое	0.9999430179595947	Школы Ошибка	14
битрикс 17999158 по укд 0050 2144 0850 3324 5357 нет пакет документ просьба сформировывать	4	Другое	0.9999645948410034	Школы Ошибка	14
битрикс 18008691 по укд 0754 1276 4720 5346 4227 нет пакет документ просьба сформировывать	14	Школы Ошибка	0.9993802309036255	Школы Ошибка	14
битрикс 18135245 по укд 0983 8485 6817 1216 0566 нет пакет документ просьба сформировывать	14	Школы Ошибка	0.9999120235443115	Школы Ошибка	14
битрикс 3451385 по укд 0904 6148 0303 2467 7232 нет пакет документ просьба сформировывать	14	Школы Ошибка	0.9997654557228088	Школы Ошибка	14
битрикс 891618 по укд 1778 7018 8334 8156 1818 и 0592 8470 4021 6168 4444 отсутствовать пакет документ хотя по данные укд сбор документ вестись и осуществляться выпуск удостоверение просьба сформировывать пакет	14	Школы Ошибка	0.9999228715896606	Школы Ошибка	14
битрикс 5595858 по укд 0396 7142 2583 5628 3620 отсутствовать пакет документ хотя по рм стоять сд да см скрин сбор документ по данный укд вестись просьба сформировывать пакет документ	4	Другое	0.9999585151672363	Школы Ошибка	14
в демо доступ высокий школа юрист компания весь программа многопользовательский тариф раздел необходимо разворачивать нажатие на еще скрин 001 после что открываться полный список скрин 002 менеджер говорить что у другой школа такой нет только в наш просто настраивать как быть рано чтобы все раздел показываться сразу	4	Другое	0.999291181564331	Школы Ошибка	14
в мапинг не подтягиваться версия настройка мапинг в школа директор по персонал весь программа https academy hr director ru backend accesses mappings ни для школа директор по персонал один программа https school hr director ru backend accesses mappings 38 скриншот во вложение название продукт сокращать номер тема состояние головной продукт версия продукт версия продукт номер версия версия продукт номер головной продукт головной продукт образовательный услуга по программа дополнительный профессиональный образование повышение квалификация hr лидер настройка личный цель и управление команда в кризис объем 50 академический часы киhr6566 20541 активный школа директор по персонал один программа школа директор по персонал один программа hr лидер настройка личный цель и управление команда в кризис объем 50 академический часы 14 052 6 566 образовательный услуга по программа дополнительный профессиональный образование повышение квалификация hr лидер настройка личный цель и управление команда в кризис объем 50 академический часы киhr6888 20542 активный школа директор по персонал весь программа школа директор по персонал весь программа hr лидер настройка личный цель и управление команда в кризис объем 50 академический часы 14 053 6 888	14	Школы Ошибка	0.9999771118164062	Школы Ошибка	14
в мобильный версия не работать страница teachers 403 ошибка в консоль	4	Другое	0.9994379878044128	Школы Ошибка	14
в новый отчет из двх https univer glavbukh ru reports_a06606ef a824 4f97 95aa 0227cc89e403 tab reportstats данные не совпадать с реальность расследование тут https docs google com document d 1mjhyhkv2_gnxrnxz7p1o57cpb2lahaw5yxbtxpuwn8u edit	14	Школы Ошибка	0.9997768998146057	Школы Ошибка	14
в школа не мочь поймать красный попап идти в программа 1с бухгалтерия https school glavbukh ru promo 202661 я уже брать на она демка на плашка на главный видеть кнопка что мочь только купить если переходить на промой легко брать демо juliavavip bk ru	14	Школы Ошибка	0.9999827146530151	Школы Ошибка	14
вносить пожалуйста изменение в генеральный директор в мастер договор новый генеральный директор актион пресс козлов елена николаевна актион диджитать старик алексей николаевич актион группа главбух сухов максим владимирович	4	Другое	0.9999872446060181	Школы Ошибка	14
дд просить завершать процесс на увольнять сотрудник и удалять он из отчет hq akhalardin халардин алекссей алексеевич	4	Другое	0.9999227523803711	Школы Ошибка	14
дд просить настраивать доступ к звонок сотрудник сс трей 1638 почта amutina action press ru компания школа вна лида цпк школа гби лида цпк	4	Другое	0.9999961853027344	Школы Ошибка	14
добавлять адрес в кладр и вносить он в арм личный данные школа курсы адрес доставка диплом по укд0654 8808 4120 7171 7830 индекс 308585белгородская область белгородский район новый нелидовка ул парковый д16	4	Другое	0.9999617338180542	Школы Ошибка	14
добрый утро не работать испдна то не прогружаться пакет то не проставляться шильдик о принятие точно они проставляться но в история не отображаться потом возникать ошибка программа работать очень долго пример пакет https docs action mcfr ru backend docs 732010 пока составлять обращение данные прогрузиться https docs action mcfr ru backend docs 731769 подключаться можно к tula311 проблема не только в тула но и в пенза кеш кука чистить	14	Школы Ошибка	0.9958990216255188	Школы Ошибка	14
добрый утро при выдача дд на академия госзакупки программа недоступный к просмотр у несколько клиент пример эл почта cbuomuh mail ru при это при выдача дд на школа госзакупки все хорошо весь программа активный просьба уточнять почему так и как клиент попадать во весь программа через академия	14	Школы Ошибка	0.9999899864196777	Школы Ошибка	14
добрый вечер не мочь получать доступ к программа редактор в инфостиль базовый правило кнопка начинать учиться неактивный см скрин пробовать чистить кеш выходить и снова входить в аккаунт заходить в другой браузер помогать пожа	4	Другое	0.9999936819076538	Школы Ошибка	14
добрый день в отчет ап_нп_оу_воронка_день_жарков в раздел презентация 1 отображаться не весь показывать презентация ниже пример собранный пин где быть презентация менеджер 1 афанасьев павел 2481857501 2937924201 6771723901 3684854301 1245057601 2 кулагин дмитрий 3973412301 3906289901 6669070901 3258800301 6404369501 2371619901 2706436401 3 кулагин ольга 3811415701 5254229401 3474731301 4398428101 6051935801	4	Другое	0.9999972581863403	Школы Ошибка	14
добрый день просить добавлять данный пользователь sneguro4ka375 gmail com в укд 0046 2604 4535 1674 0822 в ерм писать ошибка добавление пользователь	4	Другое	0.9999958276748657	Школы Ошибка	14
добрый день заказ 455539017 отправлять на регистрация 18 07 по постоплата укд не сформировываться	4	Другое	0.999996542930603	Школы Ошибка	14
добрый день коллега по основный укд 0029 2044 7831 3647 0553 у пользователь с почта dosh20a rambler ru не работать академия пользователь принимать приглашение на обучение	14	Школы Ошибка	0.9999959468841553	Школы Ошибка	14
добрый день коллега в пина 6615204301 21 04 быть принимать пользователь приглашение по укд 0754 4812 1520 1402 2001 о что свидетельствовать разговор менеджер и клиент но почему то звонок вновь назначать на данный клиент по принятие этот же курс уд 04 05 только становиться в статус активировать хотя активация проходить 21 04	4	Другое	0.999970555305481	Школы Ошибка	14
добрый день коллега у пользователь tigil hospital mail ru нет доступ к академия	14	Школы Ошибка	0.9999909400939941	Школы Ошибка	14
добрый день по заказ 449409479 не видеть укд	4	Другое	0.9999977350234985	Школы Ошибка	14
добрый день по заказ 460482336 не сформировывать укд	4	Другое	0.9999864101409912	Школы Ошибка	14
добрый день просить синхронизировать укд 0754 0644 2132 1288 2301 0754 7045 8763 3446 1516 пользователь stereo tip2704 yandex ru пин 3924459201	4	Другое	0.9999892711639404	Школы Ошибка	14
добрый день для анализ продажа по оу направление образование нужный отчет со следующий показатель по 1 полугодие начинать с 2018 год 1 звонок счет оплата по продукт кпк отдельно вип и отдельно академия в разрез клиент не клиент справочный система и журнал на момент звонок по 1 ым полугодие 2 по общий база клиент динамика прирост или падение по продукт кпк вип академия сколько из они оставаться с мы т е покупать еще наш продукт оу 3 численность штат в разбивка кпк академия по 1 ым полугодие 4 качество база с какой балл литься звонок по кпк и аро по 1 ым полугодие 5 качественный счет и их конверсия в продажа по академия и вип отдельно по 1 ым полугодие	4	Другое	0.9999978542327881	Школы Ошибка	14
добрый день 2 заказ регистрировать разный 451749206 и 451749037 а укд присвоиться на 1 фио по оба заказ можно узнавать в чем причина	4	Другое	0.9999991655349731	Школы Ошибка	14
добрый день клиент битрикс 4222913 почта e ilina iveco khv ru доступ https korpschool law ru 5031 высокий школа юрист компания весь программа 11404 высокий школа юрист компания весь программа однопользовательский версия вшюкво комплекс образовательный услуга по программа повышение квалификация и профессиональный переподготовка высокий школа юрист компания весь программа однопользовательский версия 12 мес проблема клиент не мочь назначать себя ни один программа писать программа не входить в ваш подписка решение клиент доступный весь программа для обучение во вложение скриншот с платформа под клиент доступ маппинг в школа	14	Школы Ошибка	0.999940037727356	Школы Ошибка	14
добрый день по укд 0050 3388 3482 0845 2176 невозможно подтягивать статус док ов через кнопка в арма так как вкладка укд не открываться из за большой объем информация на карточка организация выдавать ошибка быть ли возможность синхронизировать статус в ручной по другой	4	Другое	0.999998927116394	Школы Ошибка	14
добрый день проблема в https univer glavbukh ru study программа можно открывать только после то как нажимать начинать учиться https univer glavbukh ru programs view 200707 https univer glavbukh ru programs view 202646 ранее заводить подобный обращение на другой программа 21226527	14	Школы Ошибка	0.9999792575836182	Школы Ошибка	14
добрый день просьба по укд 0904 7075 1777 3667 3601 предоставлять моментальный доступ к академия заранее спасибо	4	Другое	0.9998255372047424	Школы Ошибка	14
добрый день просьба по укд 0905 2787 0514 3031 0861 предоставлять моментальный доступ заранее спасибо	4	Другое	0.9999964237213135	Школы Ошибка	14
добрый день просить подтягивать укд клиент в лк обучение быть и проходить а в арм укд нет см вложение odnodvorkina_as mosgorbti ru	4	Другое	0.9988778233528137	Школы Ошибка	14
добрый день у клиент нет доступ к программа просьба настраивать укд 1382 2008 5486 3116 6802 0904 6635 3134 5451 0387	14	Школы Ошибка	0.9999954700469971	Школы Ошибка	14
добрый день укд 1382 3566 4038 4613 5602 просьба предоставлять моментальный доступ заранее спасибо	4	Другое	0.99998939037323	Школы Ошибка	14
добрый день укд 5500 2710 7834 0747 0528 у клиент пин 6741070701 a_pavlov rn burenie rosneft ru при вход в проверка контрагент финансы открываться страница проверка контрагент бухгалтерия просьба проверять ошибка	4	Другое	0.998336672782898	Школы Ошибка	14
добрый день 0050 6535 4271 1713 7268 0050 5111 1467 4317 7505 большой просьба подтягивать оценка в арм в лк у ученик программа проходить во вложение направлять сертификат	14	Школы Ошибка	0.9999896287918091	Школы Ошибка	14
добрый день большой просьба подтягивать в арм укд по обучение эл почта petrianin1989 gmail com в лк сертификат быть см вложение	14	Школы Ошибка	0.9999825954437256	Школы Ошибка	14
добрый день большой просьба подтягивать укд слушатель novikov_ag nrcki ru в арм по обучение по программа обучение по охрана труд для руководитель и специалист и пожарный технический минимум в арм укд нет в лк программа пройти см вложение	4	Другое	0.9978991746902466	Школы Ошибка	14
добрый день в академия управление сестринский деятельность сбой не пропускать в урок сразу выкидывать из они скрин во вложение просить исправлять ошибка так как демо не открываться ни у менеджер ни у клиент из за это мы не мочь провожать презентация почта для проверка ivaganova pressh ru eryzhova pressh ru abachinskaja pressh ru	14	Школы Ошибка	0.999836802482605	Школы Ошибка	14
добрый день в арм не проходить укд по программа охрана труд для руководитель и специалист а в лк быть сертификат просить подтягивать почта malyuckova40 gmail com	14	Школы Ошибка	0.9993191957473755	Школы Ошибка	14
добрый день в высокий школа главбух слетать лот для оплата карта причем слетать 5 минута назад 15 минута назад я устанавливать новый цена и все работать сейчас не работать ни в один из программа выглядеть так хотя рано выпадать огромный список лот на выбор http prntscr com dxjzly4teeo_ просить вы помогать на страница настраивать рекламный кампания спасибо большой	4	Другое	0.999735414981842	Школы Ошибка	14
добрый день в другой академия https a kom dir ru study увеличивать я как супер лицензия pavlova gd ru там сейчас я тоже не смочь никуда попадать и где этот лицензия жить как мы это сам мочь менять это очень неудобный что у мы стоять ограничение	14	Школы Ошибка	0.9999840259552002	Школы Ошибка	14
добрый день в продукт академия ресурс образование я не мочь зайти в программа система предлагать назначать они себя чтобы получать к они доступ но при это свободный доступ приглашение у я нет соответственно я не мочь консультировать клиент по курс т к просто не иметь к они доступ это сильно осложнять работа в режим демо компания также не мочь переходить в урок программа выбрасывать на главный страница просить решать проблема пользователь инга мишина учетный запись imishina	4	Другое	0.9995255470275879	Школы Ошибка	14
добрый день клиент не получать приглашение на обучение неоднократно направлять приглашение повторно безрезультатно просьба настраивать кабинет клиент принимать приглашение за клиент заранее спасибо пин 3789415101 укд 1275 8441 8585 7820 7182	14	Школы Ошибка	0.9999746084213257	Школы Ошибка	14
добрый день клиент пин 116061401 приобретать академия от период обучение с 01 06 2022г просить проставлять моментальный доступ чтобы клиент смочь назначать обучение укд 0983 5307 3032 1517 4234	4	Другое	0.9997442364692688	Школы Ошибка	14
добрый день клиент пин 1170533701 приобретать академия от период обучение с 01 06 2022г просить проставлять моментальный доступ чтобы клиент смочь назначать обучение укд 0983 0038 5421 5073 2200	4	Другое	0.9998922348022461	Школы Ошибка	14
добрый день клиент пин 1282079301 приобретать академия от период обучение с 01 06 2022г просить проставлять моментальный доступ чтобы клиент смочь назначать обучение укд 0983 2657 7542 2152 7345	4	Другое	0.9998024106025696	Школы Ошибка	14
