Query	predict_lb	predict_tag	true_lb	true_tag
добрый день сотрудник лавкин галина витальевна sar 066 почта glavkina pressh ru отправлять клиент почта mbou gimnazya mail ru дд но он не приходить а также не приходить отбивка о доставка сотрудник работать на удаленке мочь проверять это проблема у клиент или у сотрудник просить помогать заранее спасибо	4	Другое	14	Школы Ошибка
добрый день у пользователь нет доступ в система завуч плюс direktor 25 mail ru	4	Другое	14	Школы Ошибка
добрый день данный сотрудник принимать приглашение по обучение но в система и ерм разный укд этот программа просить синхронизировать это укд который принимать 0983 3867 6260 3611 4337 здесь который в задача ерм 0983 5551 5882 0057 2136 пин 6495118101	4	Другое	14	Школы Ошибка
добрый день коллега просить помогать убирать программа у пользователь eleevsee yandex ru укд 0754 5748 5688 5803 1337 0754 3614 7652 5130 3502 у пользователь и админ доступ временно нет заранее благодарить	14	Школы Ошибка	14	Школы Ошибка
добрый день коллега просить помогать от основный укд 0029 3866 6022 6066 7016 убирать дочерний 0754 6058 3610 4508 8052 заранее благодарить	4	Другое	14	Школы Ошибка
добрый день коллега просить помогать из основный укд 0026 4787 5104 3146 1114 убирать дочерний 0754 8234 8218 8081 8242 заранее благодарить	4	Другое	14	Школы Ошибка
добрый день пин 3132158801 у клиент отображаться несколько кабинет при это клиент являться ученик в многопользовательский академия укд доба доступ 1275 4846 3737 2845 2155 и учиться в вип школа укд 0654 6008 4867 2135 7844 при это совершенно непонятно на какой кабинет какой продукт мы важно назначать обучение в вип школа но мы сам не мочь понимать куда заводить клиент просьба уточнять какой из кабинет к какой продукт относиться а так же если это возможный переименовывать кабинет по умолчание в т ч для весь клиент указывать продукт например вип академия система и т д заранее спасибо на данный клиент уже для удобство переименовывать кабинет	14	Школы Ошибка	14	Школы Ошибка
добрый день просьба укд 0904 8130 1367 6866 2174 перенести на верный участник пин 2301848601 эл почта nadegdo mail ru заранее спасибо	4	Другое	14	Школы Ошибка
добрый день укд 0050 8751 2600 4326 8837 уточнять дата сдача фин тест	4	Другое	14	Школы Ошибка
замечать очень глобальный тенденция 1 клиент в редкий случай через мобильный телефон мочь принимать приглашение на обучение т е ссылка в приглашение активный только через компьютер пример не собирать со слово клиент при переход в лк просить весть логин и пароль но после вход на сайт открываться приветствие если клиент рано не учиться невозможно попадать в мой обучение для принятие приглашение на сайт 2 клиент с почта gmail com не приходить письмо с приглашение свежий пример telefo 4533 gmail com svetamerkureva0130 gmail com повторный отправка приглашение на почта gmail com не помогать этот момент можно как то исправлять	4	Другое	14	Школы Ошибка
здравствовать я сотрудник вшфд пытаться входить в бэк офис академия ссылка https academy fd ru backend rubricator и школа ссылка https school fd ru backend account login returnurl 2fbackend 2frubricator и появляться код ошибка 500 скрин прилагать vpn подключать подсказывать пожалуйста это какой то временный сбой быть ли возможность исправлять	4	Другое	14	Школы Ошибка
из один школа в другой передавать контент https academy fd ru programs view 203630 fe58bed6 e391 459f a49b 2cb8706c1c23 8d741b77 58b6 4042 8733 b2f93682e66f тут быть допматы и они скачиваться передавать казах https buhstudy mcfr kz programs 207422 fe58bed6 e391 459f a49b 2cb8706c1c23 8d741b77 58b6 4042 8733 b2f93682e66f а тут допматы не скачиваться	14	Школы Ошибка	14	Школы Ошибка
клиент natbeba yandex ru проходить обучение по укд 0606 8137 0218 1534 8420 но в арма оценка не подтягиваться просьба проставлять оценка	14	Школы Ошибка	14	Школы Ошибка
проверять этот задача https jira action media ru browse bcklg 37980 где на выход пользователь который ранее не быть зарегистрировать на наш платформа проходить регистрация на edu rosminzdrav ru но не иметь регистрация в айди2 при переход по ссылка с edu rosminzdrav ru на наш программа должный увидеть подымать попап авторизация регистрация в айди2 задача не выполнять ознакомляться со сценарий действие можно здесь https docs google com document d 15yhe9rq9c sj73ghl_n4kguq0f1pqdtyizldidf5dmc edit usp sharing сценарий 3	4	Другое	14	Школы Ошибка
укд 0754 1335 5185 4442 1662 не получать ранний доступ	4	Другое	14	Школы Ошибка
устаревать доступ просьба отрыть кураторский доступ для назначение курс сотрудник	4	Другое	14	Школы Ошибка
0606 7140 1763 8458 3603 просьба подтягивать оценка	14	Школы Ошибка	14	Школы Ошибка
0654 1442 7840 2415 1636 не сформиван пакет	14	Школы Ошибка	14	Школы Ошибка
0654 7884 7803 6065 5176 нет пакет	14	Школы Ошибка	14	Школы Ошибка
0787 4430 1367 2271 2474 нет возможность загружать документ хотя написать что сд да	4	Другое	14	Школы Ошибка
0904 8526 7101 6538 6381 перенести срок пожалуйста с 1 08 2022 31 10 2022	4	Другое	14	Школы Ошибка
0955 1868 2717 4053 5665 нет пакет	14	Школы Ошибка	14	Школы Ошибка
0955 7658 0131 3357 6773 не сформировывать пакет для загрузка	2	АРМ оператора (SD) Ошибка	14	Школы Ошибка
1275 5882 1388 4204 2837 не сформировывать пакет для загрузка	14	Школы Ошибка	14	Школы Ошибка
1382 0871 8626 6713 1467 нет пакет	14	Школы Ошибка	14	Школы Ошибка
1382 4270 7203 6574 8518 нет пакет для загрузка	14	Школы Ошибка	14	Школы Ошибка
1382 2678 0018 4128 6517 1382 3046 5224 1047 4511 нет пакет	14	Школы Ошибка	14	Школы Ошибка
1382 0871 8626 6713 1467 нет пакет	14	Школы Ошибка	14	Школы Ошибка
1382 5661 8310 6241 0277 1382 8486 0571 2437 3550 нет пакет	14	Школы Ошибка	14	Школы Ошибка
1732 1423 2646 2288 5143 нет пакет для загрузка	14	Школы Ошибка	14	Школы Ошибка
3768649901 zakupki ctho ru не приходить демо доступ на высокий школа госзакупки кп приходить а дд нет	3	Демодоступы (ДД) Доступы	14	Школы Ошибка
baksbanny18 mail ru у клиент не создаваться укд на пожарный безопасность для руководитель и ответственный лицо	3	Демодоступы (ДД) Доступы	14	Школы Ошибка
ilianka el yandex ru hables vo rambler ru vsvetlana35 bk ru у данный клиент нет возможность посмотреть демо при выдача через весь программа ссылка приходить но не давать зайти в курс курс неактивный а через одиночный демка писать что быть доступный после сдача тест просьба подсказывать причина у мы это очень распространенный проблема и устранять она в перспектива если это возможный	14	Школы Ошибка	14	Школы Ошибка
julia_kaplina95 mail ru пин 6083196001 программа в демо доступ у клиент не открываться написать в любой обучение начинать и много ничто	14	Школы Ошибка	14	Школы Ошибка
k0non87 ya ru в арма укд на программа обучение по охрана труд руководитель и специалист организация 40 часы отсутствовать просьба сформировывать укд на данный обучение	14	Школы Ошибка	14	Школы Ошибка
oks usd wld sudrf ru демодоступ на высокий школа госзакупки не открываться у клиент курсы неактивный только микрообучение доступно к просмотр пин3156947401 светлана просьба сообщать что сделать чтобы клиент мочь смотреть онлайн демо доступ	14	Школы Ошибка	14	Школы Ошибка
абзеев дамир рамильевич abzeev d r muctr ru гореть владимир васильевич gorev v v muctr ru жук дмитрий юрьевич zhukov d i muctr ru павлов александр валерьевич pavlov a v muctr ru сергеев анастасия васильевна sergeeva a v muctr ru у данный ученик в арм нет укд с пройти программа а в личный кабинет сформировывать сертификат просьба укд с пройти программа добавлять в арм заранее спасибо	4	Другое	14	Школы Ошибка
активация укд по переподписка_new образовательный услуга по программа дополнительный профессиональный образование повышение квалификация антикризисный кадровик как сокращать затрата на персонал 72 час 01 08 22 30 09 22 укд 0610 3146 2087 4057 2355 кл кислов олег александрович активировать внутри программа отображаться неверный период почта kislovoleg ya ru и программа неактивный верный период 01 08 22 30 09 22	4	Другое	14	Школы Ошибка
битрикс 10876113 по укд 0410 1650 8153 6344 7358 нет пакет документ просьба сформировывать	4	Другое	14	Школы Ошибка
битрикс 11390712 по укд 0955 8552 7660 0823 3861 и 0955 2522 1022 6586 7553 нет пакет документ просьба сформировывать	14	Школы Ошибка	14	Школы Ошибка
битрикс 13348228 клиент утверждать что проходить обучение по укд 0606 0054 5008 5488 4877 но оценка в арма не проставлять просьба проверять проходить ли данный обучение и если да то проставлять оценка	14	Школы Ошибка	14	Школы Ошибка
битрикс 15713662 по укд 0050 6760 4172 0000 2535 обучение проходить но оценка не проставлять в арма подтягивать не удаваться просьба проставлять оценка	14	Школы Ошибка	14	Школы Ошибка
битрикс 16472050 по укд 0050 0652 7842 7845 3421 нет пакет документ просьба сформировывать	4	Другое	14	Школы Ошибка
битрикс 16560274 по укд 0654 8283 1837 0141 1823 нет пакет документ просьба сформировывать	14	Школы Ошибка	14	Школы Ошибка
битрикс 17339674 по укд 0610 4857 8045 2725 5425 нет пакет документ просьба сформировывать	4	Другое	14	Школы Ошибка
битрикс 17398659 по укд 0754 8773 2624 3208 0557 не сформировываться обращение на проверка просьба сформировывать	4	Другое	14	Школы Ошибка
битрикс 17434723 по укд 0904 2867 3018 3645 6650 нет пакет документ просьба сформировывать	14	Школы Ошибка	14	Школы Ошибка
битрикс 17472107 клиент проходить обучение по укд 0050 6638 5217 1503 2203 но в арма оценка не подтягиваться просьба проставлять оценка	14	Школы Ошибка	14	Школы Ошибка
битрикс 17669439 по укд 0918 2677 6203 2682 1817 и 0610 2440 5651 1313 1208 нет пакет документ просьба сформировывать	14	Школы Ошибка	14	Школы Ошибка
битрикс 17680354 клиент o antonova75 mail ru проходить обучение по укд 0397 8676 8801 2247 4418 но оценка в арма не проставляться подтягивать свой сила не удаваться просьба проставлять оценка	14	Школы Ошибка	14	Школы Ошибка
битрикс 17736758 по укд 0905 1360 1058 5516 5652 нет пакет документ просьба сформировывать	14	Школы Ошибка	14	Школы Ошибка
битрикс 17975076 по укд 0654 2425 3081 2533 7574 нет пакет документ просьба сформировывать	4	Другое	14	Школы Ошибка
битрикс 17999158 по укд 0050 2144 0850 3324 5357 нет пакет документ просьба сформировывать	4	Другое	14	Школы Ошибка
битрикс 18008691 по укд 0754 1276 4720 5346 4227 нет пакет документ просьба сформировывать	14	Школы Ошибка	14	Школы Ошибка
битрикс 18135245 по укд 0983 8485 6817 1216 0566 нет пакет документ просьба сформировывать	14	Школы Ошибка	14	Школы Ошибка
битрикс 3451385 по укд 0904 6148 0303 2467 7232 нет пакет документ просьба сформировывать	14	Школы Ошибка	14	Школы Ошибка
битрикс 891618 по укд 1778 7018 8334 8156 1818 и 0592 8470 4021 6168 4444 отсутствовать пакет документ хотя по данные укд сбор документ вестись и осуществляться выпуск удостоверение просьба сформировывать пакет	14	Школы Ошибка	14	Школы Ошибка
битрикс 5595858 по укд 0396 7142 2583 5628 3620 отсутствовать пакет документ хотя по рм стоять сд да см скрин сбор документ по данный укд вестись просьба сформировывать пакет документ	4	Другое	14	Школы Ошибка
в демо доступ высокий школа юрист компания весь программа многопользовательский тариф раздел необходимо разворачивать нажатие на еще скрин 001 после что открываться полный список скрин 002 менеджер говорить что у другой школа такой нет только в наш просто настраивать как быть рано чтобы все раздел показываться сразу	4	Другое	14	Школы Ошибка
в мапинг не подтягиваться версия настройка мапинг в школа директор по персонал весь программа https academy hr director ru backend accesses mappings ни для школа директор по персонал один программа https school hr director ru backend accesses mappings 38 скриншот во вложение название продукт сокращать номер тема состояние головной продукт версия продукт версия продукт номер версия версия продукт номер головной продукт головной продукт образовательный услуга по программа дополнительный профессиональный образование повышение квалификация hr лидер настройка личный цель и управление команда в кризис объем 50 академический часы киhr6566 20541 активный школа директор по персонал один программа школа директор по персонал один программа hr лидер настройка личный цель и управление команда в кризис объем 50 академический часы 14 052 6 566 образовательный услуга по программа дополнительный профессиональный образование повышение квалификация hr лидер настройка личный цель и управление команда в кризис объем 50 академический часы киhr6888 20542 активный школа директор по персонал весь программа школа директор по персонал весь программа hr лидер настройка личный цель и управление команда в кризис объем 50 академический часы 14 053 6 888	14	Школы Ошибка	14	Школы Ошибка
в мобильный версия не работать страница teachers 403 ошибка в консоль	4	Другое	14	Школы Ошибка
в новый отчет из двх https univer glavbukh ru reports_a06606ef a824 4f97 95aa 0227cc89e403 tab reportstats данные не совпадать с реальность расследование тут https docs google com document d 1mjhyhkv2_gnxrnxz7p1o57cpb2lahaw5yxbtxpuwn8u edit	14	Школы Ошибка	14	Школы Ошибка
в школа не мочь поймать красный попап идти в программа 1с бухгалтерия https school glavbukh ru promo 202661 я уже брать на она демка на плашка на главный видеть кнопка что мочь только купить если переходить на промой легко брать демо juliavavip bk ru	14	Школы Ошибка	14	Школы Ошибка
вносить пожалуйста изменение в генеральный директор в мастер договор новый генеральный директор актион пресс козлов елена николаевна актион диджитать старик алексей николаевич актион группа главбух сухов максим владимирович	4	Другое	14	Школы Ошибка
дд просить завершать процесс на увольнять сотрудник и удалять он из отчет hq akhalardin халардин алекссей алексеевич	4	Другое	14	Школы Ошибка
дд просить настраивать доступ к звонок сотрудник сс трей 1638 почта amutina action press ru компания школа вна лида цпк школа гби лида цпк	4	Другое	14	Школы Ошибка
добавлять адрес в кладр и вносить он в арм личный данные школа курсы адрес доставка диплом по укд0654 8808 4120 7171 7830 индекс 308585белгородская область белгородский район новый нелидовка ул парковый д16	4	Другое	14	Школы Ошибка
добрый утро не работать испдна то не прогружаться пакет то не проставляться шильдик о принятие точно они проставляться но в история не отображаться потом возникать ошибка программа работать очень долго пример пакет https docs action mcfr ru backend docs 732010 пока составлять обращение данные прогрузиться https docs action mcfr ru backend docs 731769 подключаться можно к tula311 проблема не только в тула но и в пенза кеш кука чистить	14	Школы Ошибка	14	Школы Ошибка
добрый утро при выдача дд на академия госзакупки программа недоступный к просмотр у несколько клиент пример эл почта cbuomuh mail ru при это при выдача дд на школа госзакупки все хорошо весь программа активный просьба уточнять почему так и как клиент попадать во весь программа через академия	14	Школы Ошибка	14	Школы Ошибка
добрый вечер не мочь получать доступ к программа редактор в инфостиль базовый правило кнопка начинать учиться неактивный см скрин пробовать чистить кеш выходить и снова входить в аккаунт заходить в другой браузер помогать пожа	4	Другое	14	Школы Ошибка
добрый день в отчет ап_нп_оу_воронка_день_жарков в раздел презентация 1 отображаться не весь показывать презентация ниже пример собранный пин где быть презентация менеджер 1 афанасьев павел 2481857501 2937924201 6771723901 3684854301 1245057601 2 кулагин дмитрий 3973412301 3906289901 6669070901 3258800301 6404369501 2371619901 2706436401 3 кулагин ольга 3811415701 5254229401 3474731301 4398428101 6051935801	4	Другое	14	Школы Ошибка
добрый день просить добавлять данный пользователь sneguro4ka375 gmail com в укд 0046 2604 4535 1674 0822 в ерм писать ошибка добавление пользователь	4	Другое	14	Школы Ошибка
добрый день заказ 455539017 отправлять на регистрация 18 07 по постоплата укд не сформировываться	4	Другое	14	Школы Ошибка
добрый день коллега по основный укд 0029 2044 7831 3647 0553 у пользователь с почта dosh20a rambler ru не работать академия пользователь принимать приглашение на обучение	14	Школы Ошибка	14	Школы Ошибка
добрый день коллега в пина 6615204301 21 04 быть принимать пользователь приглашение по укд 0754 4812 1520 1402 2001 о что свидетельствовать разговор менеджер и клиент но почему то звонок вновь назначать на данный клиент по принятие этот же курс уд 04 05 только становиться в статус активировать хотя активация проходить 21 04	4	Другое	14	Школы Ошибка
добрый день коллега у пользователь tigil hospital mail ru нет доступ к академия	14	Школы Ошибка	14	Школы Ошибка
добрый день по заказ 449409479 не видеть укд	4	Другое	14	Школы Ошибка
добрый день по заказ 460482336 не сформировывать укд	4	Другое	14	Школы Ошибка
добрый день просить синхронизировать укд 0754 0644 2132 1288 2301 0754 7045 8763 3446 1516 пользователь stereo tip2704 yandex ru пин 3924459201	4	Другое	14	Школы Ошибка
добрый день для анализ продажа по оу направление образование нужный отчет со следующий показатель по 1 полугодие начинать с 2018 год 1 звонок счет оплата по продукт кпк отдельно вип и отдельно академия в разрез клиент не клиент справочный система и журнал на момент звонок по 1 ым полугодие 2 по общий база клиент динамика прирост или падение по продукт кпк вип академия сколько из они оставаться с мы т е покупать еще наш продукт оу 3 численность штат в разбивка кпк академия по 1 ым полугодие 4 качество база с какой балл литься звонок по кпк и аро по 1 ым полугодие 5 качественный счет и их конверсия в продажа по академия и вип отдельно по 1 ым полугодие	4	Другое	14	Школы Ошибка
добрый день 2 заказ регистрировать разный 451749206 и 451749037 а укд присвоиться на 1 фио по оба заказ можно узнавать в чем причина	4	Другое	14	Школы Ошибка
добрый день клиент битрикс 4222913 почта e ilina iveco khv ru доступ https korpschool law ru 5031 высокий школа юрист компания весь программа 11404 высокий школа юрист компания весь программа однопользовательский версия вшюкво комплекс образовательный услуга по программа повышение квалификация и профессиональный переподготовка высокий школа юрист компания весь программа однопользовательский версия 12 мес проблема клиент не мочь назначать себя ни один программа писать программа не входить в ваш подписка решение клиент доступный весь программа для обучение во вложение скриншот с платформа под клиент доступ маппинг в школа	14	Школы Ошибка	14	Школы Ошибка
добрый день по укд 0050 3388 3482 0845 2176 невозможно подтягивать статус док ов через кнопка в арма так как вкладка укд не открываться из за большой объем информация на карточка организация выдавать ошибка быть ли возможность синхронизировать статус в ручной по другой	4	Другое	14	Школы Ошибка
добрый день проблема в https univer glavbukh ru study программа можно открывать только после то как нажимать начинать учиться https univer glavbukh ru programs view 200707 https univer glavbukh ru programs view 202646 ранее заводить подобный обращение на другой программа 21226527	14	Школы Ошибка	14	Школы Ошибка
добрый день просьба по укд 0904 7075 1777 3667 3601 предоставлять моментальный доступ к академия заранее спасибо	4	Другое	14	Школы Ошибка
добрый день просьба по укд 0905 2787 0514 3031 0861 предоставлять моментальный доступ заранее спасибо	4	Другое	14	Школы Ошибка
добрый день просить подтягивать укд клиент в лк обучение быть и проходить а в арм укд нет см вложение odnodvorkina_as mosgorbti ru	4	Другое	14	Школы Ошибка
добрый день у клиент нет доступ к программа просьба настраивать укд 1382 2008 5486 3116 6802 0904 6635 3134 5451 0387	14	Школы Ошибка	14	Школы Ошибка
добрый день укд 1382 3566 4038 4613 5602 просьба предоставлять моментальный доступ заранее спасибо	4	Другое	14	Школы Ошибка
добрый день укд 5500 2710 7834 0747 0528 у клиент пин 6741070701 a_pavlov rn burenie rosneft ru при вход в проверка контрагент финансы открываться страница проверка контрагент бухгалтерия просьба проверять ошибка	4	Другое	14	Школы Ошибка
добрый день 0050 6535 4271 1713 7268 0050 5111 1467 4317 7505 большой просьба подтягивать оценка в арм в лк у ученик программа проходить во вложение направлять сертификат	14	Школы Ошибка	14	Школы Ошибка
добрый день большой просьба подтягивать в арм укд по обучение эл почта petrianin1989 gmail com в лк сертификат быть см вложение	14	Школы Ошибка	14	Школы Ошибка
добрый день большой просьба подтягивать укд слушатель novikov_ag nrcki ru в арм по обучение по программа обучение по охрана труд для руководитель и специалист и пожарный технический минимум в арм укд нет в лк программа пройти см вложение	4	Другое	14	Школы Ошибка
добрый день в академия управление сестринский деятельность сбой не пропускать в урок сразу выкидывать из они скрин во вложение просить исправлять ошибка так как демо не открываться ни у менеджер ни у клиент из за это мы не мочь провожать презентация почта для проверка ivaganova pressh ru eryzhova pressh ru abachinskaja pressh ru	14	Школы Ошибка	14	Школы Ошибка
добрый день в арм не проходить укд по программа охрана труд для руководитель и специалист а в лк быть сертификат просить подтягивать почта malyuckova40 gmail com	14	Школы Ошибка	14	Школы Ошибка
добрый день в высокий школа главбух слетать лот для оплата карта причем слетать 5 минута назад 15 минута назад я устанавливать новый цена и все работать сейчас не работать ни в один из программа выглядеть так хотя рано выпадать огромный список лот на выбор http prntscr com dxjzly4teeo_ просить вы помогать на страница настраивать рекламный кампания спасибо большой	4	Другое	14	Школы Ошибка
добрый день в другой академия https a kom dir ru study увеличивать я как супер лицензия pavlova gd ru там сейчас я тоже не смочь никуда попадать и где этот лицензия жить как мы это сам мочь менять это очень неудобный что у мы стоять ограничение	14	Школы Ошибка	14	Школы Ошибка
добрый день в продукт академия ресурс образование я не мочь зайти в программа система предлагать назначать они себя чтобы получать к они доступ но при это свободный доступ приглашение у я нет соответственно я не мочь консультировать клиент по курс т к просто не иметь к они доступ это сильно осложнять работа в режим демо компания также не мочь переходить в урок программа выбрасывать на главный страница просить решать проблема пользователь инга мишина учетный запись imishina	4	Другое	14	Школы Ошибка
добрый день клиент не получать приглашение на обучение неоднократно направлять приглашение повторно безрезультатно просьба настраивать кабинет клиент принимать приглашение за клиент заранее спасибо пин 3789415101 укд 1275 8441 8585 7820 7182	14	Школы Ошибка	14	Школы Ошибка
добрый день клиент пин 116061401 приобретать академия от период обучение с 01 06 2022г просить проставлять моментальный доступ чтобы клиент смочь назначать обучение укд 0983 5307 3032 1517 4234	4	Другое	14	Школы Ошибка
добрый день клиент пин 1170533701 приобретать академия от период обучение с 01 06 2022г просить проставлять моментальный доступ чтобы клиент смочь назначать обучение укд 0983 0038 5421 5073 2200	4	Другое	14	Школы Ошибка
добрый день клиент пин 1282079301 приобретать академия от период обучение с 01 06 2022г просить проставлять моментальный доступ чтобы клиент смочь назначать обучение укд 0983 2657 7542 2152 7345	4	Другое	14	Школы Ошибка
добрый день клиент пин 18013801 приобретать академия от период обучение с 01 06 2022г просить проставлять моментальный доступ чтобы клиент смочь назначать обучение укд 0983 2702 3156 1528 0206	4	Другое	14	Школы Ошибка
добрый день клиент пин 2756111001 приобретать академия от период обучение с 15 05 2022г просить проставлять моментальный доступ чтобы клиент смочь назначать обучение укд 0983 6158 8554 3461 4564	4	Другое	14	Школы Ошибка
добрый день клиент пин 284899701 приобретать академия от период обучение с 01 07 2022г просить проставлять моментальный доступ чтобы клиент смочь назначать обучение укд 0983 8205 0088 8247 3452	4	Другое	14	Школы Ошибка
добрый день клиент пин 2870139901 приобретать академия от период обучение с 01 07 2022г просить проставлять моментальный доступ чтобы клиент смочь назначать обучение укд 00983 6356 4785 8421 0727	4	Другое	14	Школы Ошибка
добрый день клиент пин 2875563201 приобретать академия от период обучение с 01 05 2022г просить проставлять моментальный доступ чтобы клиент смочь назначать обучение укд 0983 4336 4704 6012 8083	14	Школы Ошибка	14	Школы Ошибка
добрый день клиент пин 2948631901 приобретать академия от период обучение с 01 06 2022г просить проставлять моментальный доступ чтобы клиент смочь назначать обучение укд 0983 3110 6660 2183 8736	4	Другое	14	Школы Ошибка
